en,ja
"There is no nationwide resident register or population register that supports cross-cutting reference of address-linked core attributes. Population statistics rely on the decennial census, and administrative identity records are fragmented across federal and state systems; no unified nationwide backbone exists for verifying core particulars derived from resident registration.",連邦レベルでの住民登録制度や人口登録簿は存在しない。人口統計は国勢調査によって作成され、行政上の個人情報は社会保障番号や州・分野別の登録制度に分散して管理されている。住所を含む基礎属性を全国で一貫して参照・検証する仕組みは存在しない。
"A resident registration system provides a nationwide basis for referencing and verifying core resident attributes. Residence (address) information is maintained under the resident registration regime and is widely used across administrative procedures, enabling consistent nationwide verification of core particulars.",住民登録制度により、個人の基礎属性情報を全国で参照・検証できる仕組みが整備されている。住所情報を含む住民情報が行政手続の基礎として活用され、全国的な本人確認・情報照会の背骨として機能している。
LocalResident registration controlled by local authorities under national supervisionLocal register held by municipalities; nationwide IT network enables cross-municipal lookup but legal system of record remains local.,住民登録は国の監督の下で地方自治体が管理している。住民基本台帳は市町村が保有しており、全国的なITネットワークによって自治体間での照会は可能であるが、法的な原本（システム・オブ・レコード）はあくまで地方レベルに置かれている。
"DevelopingNo universal population register comparable to Nordic systems; Aadhaar provides resident identity for many services but is not a citizenship register.Legal framework exists (NPR), but updates are intermittent and census-linked; continuous resident registration not yet established.",北欧諸国に見られるような普遍的な人口登録簿は存在せず、Aadhaarは多くのサービスで居住者の本人確認に用いられているものの、市民権登録簿ではない。国民人口登録（NPR）という法的枠組みは存在するが、更新は断続的で国勢調査と連動しており、継続的な住民登録制度はまだ確立されていない。
"Local
Resident registration controlled by local authorities under national supervision
Local register held by municipalities; nationwide IT network enables cross-municipal lookup but legal system of record remains local.",住民登録は国の監督の下で地方自治体が管理している。住民基本台帳は市町村が保有しており、全国的なITネットワークによって自治体間での照会は可能であるが、法的な原本（システム・オブ・レコード）はあくまで地方レベルに置かれている。
"Developing
No universal population register comparable to Nordic systems; Aadhaar provides resident identity for many services but is not a citizenship register.
Legal framework exists (NPR), but updates are intermittent and census-linked; continuous resident registration not yet established.",北欧諸国に見られるような普遍的な人口登録簿は存在せず、Aadhaarは多くのサービスで居住者の本人確認に用いられているものの、市民権登録簿ではない。国民人口登録（NPR）という法的枠組みは存在するが、更新は断続的で国勢調査と連動しており、継続的な住民登録制度はまだ確立されていない。
"A tax file number exists for taxation and related reporting, but the framework explicitly rejects using it as a national identification system. In Australia, identity in everyday public and private transactions is not anchored to a single universal personal number; instead, identifiers remain purpose-specific (tax, licensing, program enrolment) and are not institutionally positioned as a cross-sector common key. Accordingly, the national design is best described as a non-common-identifier model rather than a unified personal identifier regime.",税務および関連する報告のためのタックスファイルナンバーは存在するが、それを国家的な身分識別制度として用いることは制度上明確に否定されている。オーストラリアでは、日常的な公的・民間の取引における身元確認は単一の万能な個人番号に依拠しておらず、識別子は税、免許、制度参加などの目的別に分離されたままである。したがって、この国の設計は、統一された個人識別子制度ではなく、共通識別子を採用しないモデルとして位置づけられる。
"A single national identifier exists in the form of the Social Insurance Number (SIN), which is used across key administrative domains such as employment reporting, taxation, and government benefits. However, the SIN is explicitly treated as confidential and purpose-bound, with official guidance emphasising minimised disclosure and discouraging its use as a general identity credential. As a result, while a common personal identifier exists, it is institutionally framed as a restricted and sensitive reference number rather than a universal cross-sector identifier.",社会保険番号（SIN）という全国単一の個人識別子が存在し、雇用報告、課税、政府給付といった主要な行政分野で共通に利用されている。しかし、SINは明示的に機密情報として扱われ、提供は最小限に抑えるべきものとされており、一般的な本人確認用の資格情報としての利用は公式に抑制されている。その結果、共通の個人番号は存在するものの、それは官民横断の万能な識別子ではなく、用途が限定された機微な参照番号として制度的に位置づけられている。
"A nationwide personal tax identification number exists for tax administration, issued and handled through the federal tax authority, but it functions primarily within the taxation domain. The current dataset treats Germany as a separated-identifier (sector-specific) design, where a single universal cross-sector personal identifier is not positioned as the institutional backbone for public and private usage. Under this interpretation, the country aligns with a non-common-identifier model rather than a unified personal identifier regime.",税務行政のための全国的な個人税識別番号は存在し、連邦税務当局によって付与・管理されているが、その機能は主として税分野に限定されている。本データセットでは、ドイツは分野別に識別子を分離する設計を採る国として扱われており、単一の共通個人番号が公的・民間の利用を横断する制度的基盤として位置づけられていない。この解釈の下では、ドイツは統一的な個人識別子制度ではなく、共通識別子を持たないモデルに該当する。
"A single personal identifier (the CPR number) serves as the primary reference for interacting with public authorities and is routinely used across core administrative functions. In practice, the CPR number is also widely required in everyday life for activities such as banking and healthcare access, creating a stable common key that spans public administration and common private-sector transactions. This makes the personal identifier institutionally and practically “common” across domains.",個人識別子であるCPR番号は、公的機関とのやり取りにおける主要な参照番号として機能し、中核的な行政手続全体で一貫して用いられている。実務上、この番号は銀行取引や医療サービスの利用など、日常生活における多くの場面でも広く要求されており、公的行政と一般的な民間取引をまたぐ安定した共通キーを形成している。このため、個人識別子は制度的にも実態的にも分野横断で「共通」と評価できる。
"A national personal identification code functions as a foundational identifier and is embedded across the digital and administrative ecosystem. It is used as the identifying key in government systems and is also routinely used in private-sector contexts such as e-services and regulated transactions, making it a practical common identifier across domains. The identifier is institutionally framed as a core component of the national e-identity environment rather than a sector-limited reference.",国の個人識別コードは基礎的な識別子として機能し、デジタルおよび行政のエコシステム全体に組み込まれている。この識別子は政府システムの識別キーとして用いられるだけでなく、電子サービスや規制された取引などの民間分野でも日常的に利用されている。その結果、この識別子は分野限定の参照番号ではなく、国の電子ID環境の中核を成す共通識別子として制度的に位置づけられている。
"A national identifier (NIR) exists, but its collection and use are treated as particularly sensitive and are tightly framed by law. Authorised purposes and eligible controllers are specified under the “décret cadre NIR” approach, and uses outside the defined scope are generally prohibited or require a distinct legal basis. This positions the identifier as a restricted institutional tool, rather than a freely usable common key across public and private sectors.",国民識別番号（NIR）は存在するが、その収集および利用は特に機微なものとして扱われ、法律によって厳格に枠付けられている。許容される利用目的や取扱主体は「NIR枠組み政令（décret cadre NIR）」の下で明示されており、定められた範囲外での利用は原則として禁止されるか、別途の法的根拠を必要とする。このため、NIRは自由に利用できる共通キーではなく、制度的に制限された識別手段として位置づけられている。
"A National Insurance number exists as a lifelong reference number to ensure National Insurance contributions and tax are accurately recorded, and it also serves as a reference for benefits. However, it is not positioned as a single universal personal identifier used across the whole of public administration and private transactions; instead, identity and records remain fragmented by purpose and sector. Under this institutional design, the country aligns with a non-common-identifier model rather than a unified personal identifier regime.",国民保険番号（National Insurance number）は、生涯にわたって保険料拠出や税を正確に記録するための参照番号として存在し、給付管理にも用いられている。しかし、それは公的行政全体や民間取引を横断して用いられる単一の万能な個人識別子として位置づけられているわけではなく、身元情報や記録は目的・分野ごとに分断されたまま管理されている。この制度設計の下では、統一的な個人識別子制度ではなく、共通識別子を採用しないモデルに該当する。
"Aadhaar functions as a nationwide personal identifier with strong institutional backing and is used as a basis for identity verification in the delivery of subsidies and public services. At the same time, the legal framework explicitly provides for conditions and exceptions, including alternative identification mechanisms for individuals without an Aadhaar number. This design positions Aadhaar as a powerful but regulated identifier, where the use of a common number is balanced by statutory safeguards rather than treated as an unconditional universal key.",Aadhaarは強力な制度的基盤を持つ全国的な個人識別子として機能し、補助金や公共サービスの提供における本人確認の基礎として用いられている。一方で、法制度は条件や例外を明示的に規定しており、Aadhaar番号を持たない個人に対しては代替的な本人確認手段を提供することが求められている。この設計により、Aadhaarは強力ではあるが無条件の万能キーではなく、法的セーフガードによって調整された識別子として位置づけられている。
"A single personal number exists for all residents, but its use is institutionally limited to administrative procedures specified by laws and regulations (for example, social security, taxation, and disaster response). The number is therefore not designed as a general-purpose identifier for broad private-sector usage, and its institutional meaning is “a common identifier with scope-limited legal use” rather than a universal cross-sector key. This reflects a deliberate design that separates the existence of a common number from unrestricted cross-domain use.",すべての住民に対して単一の個人番号が付与されているが、その利用は法律や政省令で定められた行政手続（例えば社会保障、税、災害対応など）に制度的に限定されている。そのため、この番号は民間分野で広く用いられる汎用的な識別子として設計されておらず、「共通番号は存在するが、その法的利用範囲が限定されている」という位置づけを持つ。この点は、共通番号の存在と無制限な分野横断利用を意図的に切り離した設計を反映している。
"A resident registration number exists as a strong identifier in the administrative environment and is treated as a direct identifier under the personal information protection framework. At the same time, private-sector processing of this number is generally restricted to limited legal bases and is not treated as an acceptable everyday identifier for routine private authentication or broad commercial reuse. This creates a design that is not “scope-limited by administrative domains” in the Japanese sense, but is instead “private-use constrained” while remaining a powerful identifier within the public sphere.",住民登録番号は行政環境において強力な識別子として存在し、個人情報保護法制上も直接識別子として位置づけられている。一方で、この番号の民間部門での取扱いは、限定された法的根拠に基づく場合に抑制されており、日常的な民間認証や広範な商業的再利用のための識別子とはみなされていない。その結果、この制度は日本のように分野ごとに利用範囲を限定する設計ではなく、公的領域では強力である一方、民間利用が制約された識別子という性格を持つ。
"A lifelong IRD number exists primarily as a taxpayer identifier for tax-related events and administration, rather than as a universal personal identifier across domains. Digital identity services (such as RealMe verified identity) provide reusable identity verification, but they are not a single national “personal number” that functions as a cross-sector common identifier. Under this institutional arrangement, the country aligns with a non-common-identifier model rather than a unified personal identifier regime.",IRD番号は主として税関連の事象や税務行政のための納税者識別子として生涯にわたり用いられており、分野横断の万能な個人番号として位置づけられていない。再利用可能な本人確認を提供するデジタルIDサービス（RealMe verified identity）は存在するが、それは公的・民間を横断する単一の個人番号制度ではない。この制度配置の下では、統一的な共通個人識別子を採用しないモデルに該当する。
"A national registration identifier (NRIC/FIN) exists as a core identifier, but public guidance explicitly distinguishes identification from authentication and advises organisations not to use NRIC numbers as authentication factors (for example, as passwords). The regulatory stance requires private organisations to phase out such authentication uses by a stated deadline, reinforcing that the identifier should not operate as a convenient universal secret for private access control. This positions the identifier as institutionally restricted in private-sector usage even where it remains a core identifier for official identification purposes.",国民登録番号（NRIC/FIN）は中核的な識別子として存在するが、公的なガイダンスでは「識別」と「認証」が明確に区別され、NRIC番号を認証要素（例えばパスワード）として用いるべきではないとされている。規制当局は民間組織に対し、こうした認証用途の利用を期限付きで廃止することを求めており、番号が私的アクセス制御のための汎用的な秘密情報として機能しないよう制度的に規律している。このため、識別子は公式な身元識別の中核でありながら、民間利用においては制限された位置づけとなっている。
"A personal identity number (personnummer) is assigned through the population register and is used as an identifier not only when dealing with government authorities but also when interacting with private companies. Official guidance describes it as the standard identifier across society, supporting routine transactions and administrative processes and enabling updates to propagate through register-based services. This makes the personal identifier a practical common key across public and private domains.",個人番号（personnummer）は人口登録を通じて付与され、政府機関との手続だけでなく、民間企業とのやり取りにおいても識別子として用いられている。公式な説明では、社会全体における標準的な識別子として位置づけられており、日常的な取引や行政手続を支え、登録情報の更新が各種サービスに連動して反映される。このため、この個人識別子は公的・民間の両領域を横断する実質的な共通キーとなっている。
"A Social Security Number was created to track earnings for benefits, but official historical analysis notes that its use expanded substantially and it came to be used as a nearly universal identifier. In practice, it is widely requested for employment reporting, benefits eligibility, and a broad range of identity-related record linkage in both public administration and private economic activity. This positions the identifier as a de facto common key across domains, even if its original statutory purpose was narrower.",社会保障番号（SSN）は当初、給付算定のための所得記録を管理する目的で導入されたが、公式な歴史分析によれば、その利用範囲は大幅に拡大し、ほぼ普遍的な識別子として用いられるようになった。実務上、SSNは雇用報告、給付資格の確認、そして公的行政と民間経済活動の双方における幅広い本人情報の照合で利用されている。このため、法定目的は限定的であったとしても、結果として分野横断の共通キーとして機能している。
