en,ja
"There is no nationwide resident register or population register that supports cross-cutting reference of address-linked core attributes. Population statistics rely on the decennial census, and administrative identity records are fragmented across federal and state systems; no unified nationwide backbone exists for verifying core particulars derived from resident registration.",連邦レベルでの住民登録制度や人口登録簿は存在しない。人口統計は国勢調査によって作成され、行政上の個人情報は社会保障番号や州・分野別の登録制度に分散して管理されている。住所を含む基礎属性を全国で一貫して参照・検証する仕組みは存在しない。
"A resident registration system provides a nationwide basis for referencing and verifying core resident attributes. Residence (address) information is maintained under the resident registration regime and is widely used across administrative procedures, enabling consistent nationwide verification of core particulars.",住民登録制度により、個人の基礎属性情報を全国で参照・検証できる仕組みが整備されている。住所情報を含む住民情報が行政手続の基礎として活用され、全国的な本人確認・情報照会の背骨として機能している。
LocalResident registration controlled by local authorities under national supervisionLocal register held by municipalities; nationwide IT network enables cross-municipal lookup but legal system of record remains local.,住民登録は国の監督の下で地方自治体が管理している。住民基本台帳は市町村が保有しており、全国的なITネットワークによって自治体間での照会は可能であるが、法的な原本（システム・オブ・レコード）はあくまで地方レベルに置かれている。
"DevelopingNo universal population register comparable to Nordic systems; Aadhaar provides resident identity for many services but is not a citizenship register.Legal framework exists (NPR), but updates are intermittent and census-linked; continuous resident registration not yet established.",北欧諸国に見られるような普遍的な人口登録簿は存在せず、Aadhaarは多くのサービスで居住者の本人確認に用いられているものの、市民権登録簿ではない。国民人口登録（NPR）という法的枠組みは存在するが、更新は断続的で国勢調査と連動しており、継続的な住民登録制度はまだ確立されていない。
"Local
Resident registration controlled by local authorities under national supervision
Local register held by municipalities; nationwide IT network enables cross-municipal lookup but legal system of record remains local.",住民登録は国の監督の下で地方自治体が管理している。住民基本台帳は市町村が保有しており、全国的なITネットワークによって自治体間での照会は可能であるが、法的な原本（システム・オブ・レコード）はあくまで地方レベルに置かれている。
"Developing
No universal population register comparable to Nordic systems; Aadhaar provides resident identity for many services but is not a citizenship register.
Legal framework exists (NPR), but updates are intermittent and census-linked; continuous resident registration not yet established.",北欧諸国に見られるような普遍的な人口登録簿は存在せず、Aadhaarは多くのサービスで居住者の本人確認に用いられているものの、市民権登録簿ではない。国民人口登録（NPR）という法的枠組みは存在するが、更新は断続的で国勢調査と連動しており、継続的な住民登録制度はまだ確立されていない。
"A tax file number exists for taxation and related reporting, but the framework explicitly rejects using it as a national identification system. In Australia, identity in everyday public and private transactions is not anchored to a single universal personal number; instead, identifiers remain purpose-specific (tax, licensing, program enrolment) and are not institutionally positioned as a cross-sector common key. Accordingly, the national design is best described as a non-common-identifier model rather than a unified personal identifier regime.",税務および関連する報告のためのタックスファイルナンバーは存在するが、それを国家的な身分識別制度として用いることは制度上明確に否定されている。オーストラリアでは、日常的な公的・民間の取引における身元確認は単一の万能な個人番号に依拠しておらず、識別子は税、免許、制度参加などの目的別に分離されたままである。したがって、この国の設計は、統一された個人識別子制度ではなく、共通識別子を採用しないモデルとして位置づけられる。
"A single national identifier exists in the form of the Social Insurance Number (SIN), which is used across key administrative domains such as employment reporting, taxation, and government benefits. However, the SIN is explicitly treated as confidential and purpose-bound, with official guidance emphasising minimised disclosure and discouraging its use as a general identity credential. As a result, while a common personal identifier exists, it is institutionally framed as a restricted and sensitive reference number rather than a universal cross-sector identifier.",社会保険番号（SIN）という全国単一の個人識別子が存在し、雇用報告、課税、政府給付といった主要な行政分野で共通に利用されている。しかし、SINは明示的に機密情報として扱われ、提供は最小限に抑えるべきものとされており、一般的な本人確認用の資格情報としての利用は公式に抑制されている。その結果、共通の個人番号は存在するものの、それは官民横断の万能な識別子ではなく、用途が限定された機微な参照番号として制度的に位置づけられている。
"A nationwide personal tax identification number exists for tax administration, issued and handled through the federal tax authority, but it functions primarily within the taxation domain. The current dataset treats Germany as a separated-identifier (sector-specific) design, where a single universal cross-sector personal identifier is not positioned as the institutional backbone for public and private usage. Under this interpretation, the country aligns with a non-common-identifier model rather than a unified personal identifier regime.",税務行政のための全国的な個人税識別番号は存在し、連邦税務当局によって付与・管理されているが、その機能は主として税分野に限定されている。本データセットでは、ドイツは分野別に識別子を分離する設計を採る国として扱われており、単一の共通個人番号が公的・民間の利用を横断する制度的基盤として位置づけられていない。この解釈の下では、ドイツは統一的な個人識別子制度ではなく、共通識別子を持たないモデルに該当する。
"A single personal identifier (the CPR number) serves as the primary reference for interacting with public authorities and is routinely used across core administrative functions. In practice, the CPR number is also widely required in everyday life for activities such as banking and healthcare access, creating a stable common key that spans public administration and common private-sector transactions. This makes the personal identifier institutionally and practically “common” across domains.",個人識別子であるCPR番号は、公的機関とのやり取りにおける主要な参照番号として機能し、中核的な行政手続全体で一貫して用いられている。実務上、この番号は銀行取引や医療サービスの利用など、日常生活における多くの場面でも広く要求されており、公的行政と一般的な民間取引をまたぐ安定した共通キーを形成している。このため、個人識別子は制度的にも実態的にも分野横断で「共通」と評価できる。
"A national personal identification code functions as a foundational identifier and is embedded across the digital and administrative ecosystem. It is used as the identifying key in government systems and is also routinely used in private-sector contexts such as e-services and regulated transactions, making it a practical common identifier across domains. The identifier is institutionally framed as a core component of the national e-identity environment rather than a sector-limited reference.",国の個人識別コードは基礎的な識別子として機能し、デジタルおよび行政のエコシステム全体に組み込まれている。この識別子は政府システムの識別キーとして用いられるだけでなく、電子サービスや規制された取引などの民間分野でも日常的に利用されている。その結果、この識別子は分野限定の参照番号ではなく、国の電子ID環境の中核を成す共通識別子として制度的に位置づけられている。
"A national identifier (NIR) exists, but its collection and use are treated as particularly sensitive and are tightly framed by law. Authorised purposes and eligible controllers are specified under the “décret cadre NIR” approach, and uses outside the defined scope are generally prohibited or require a distinct legal basis. This positions the identifier as a restricted institutional tool, rather than a freely usable common key across public and private sectors.",国民識別番号（NIR）は存在するが、その収集および利用は特に機微なものとして扱われ、法律によって厳格に枠付けられている。許容される利用目的や取扱主体は「NIR枠組み政令（décret cadre NIR）」の下で明示されており、定められた範囲外での利用は原則として禁止されるか、別途の法的根拠を必要とする。このため、NIRは自由に利用できる共通キーではなく、制度的に制限された識別手段として位置づけられている。
"A National Insurance number exists as a lifelong reference number to ensure National Insurance contributions and tax are accurately recorded, and it also serves as a reference for benefits. However, it is not positioned as a single universal personal identifier used across the whole of public administration and private transactions; instead, identity and records remain fragmented by purpose and sector. Under this institutional design, the country aligns with a non-common-identifier model rather than a unified personal identifier regime.",国民保険番号（National Insurance number）は、生涯にわたって保険料拠出や税を正確に記録するための参照番号として存在し、給付管理にも用いられている。しかし、それは公的行政全体や民間取引を横断して用いられる単一の万能な個人識別子として位置づけられているわけではなく、身元情報や記録は目的・分野ごとに分断されたまま管理されている。この制度設計の下では、統一的な個人識別子制度ではなく、共通識別子を採用しないモデルに該当する。
"Aadhaar functions as a nationwide personal identifier with strong institutional backing and is used as a basis for identity verification in the delivery of subsidies and public services. At the same time, the legal framework explicitly provides for conditions and exceptions, including alternative identification mechanisms for individuals without an Aadhaar number. This design positions Aadhaar as a powerful but regulated identifier, where the use of a common number is balanced by statutory safeguards rather than treated as an unconditional universal key.",Aadhaarは強力な制度的基盤を持つ全国的な個人識別子として機能し、補助金や公共サービスの提供における本人確認の基礎として用いられている。一方で、法制度は条件や例外を明示的に規定しており、Aadhaar番号を持たない個人に対しては代替的な本人確認手段を提供することが求められている。この設計により、Aadhaarは強力ではあるが無条件の万能キーではなく、法的セーフガードによって調整された識別子として位置づけられている。
"A single personal number exists for all residents, but its use is institutionally limited to administrative procedures specified by laws and regulations (for example, social security, taxation, and disaster response). The number is therefore not designed as a general-purpose identifier for broad private-sector usage, and its institutional meaning is “a common identifier with scope-limited legal use” rather than a universal cross-sector key. This reflects a deliberate design that separates the existence of a common number from unrestricted cross-domain use.",すべての住民に対して単一の個人番号が付与されているが、その利用は法律や政省令で定められた行政手続（例えば社会保障、税、災害対応など）に制度的に限定されている。そのため、この番号は民間分野で広く用いられる汎用的な識別子として設計されておらず、「共通番号は存在するが、その法的利用範囲が限定されている」という位置づけを持つ。この点は、共通番号の存在と無制限な分野横断利用を意図的に切り離した設計を反映している。
"A resident registration number exists as a strong identifier in the administrative environment and is treated as a direct identifier under the personal information protection framework. At the same time, private-sector processing of this number is generally restricted to limited legal bases and is not treated as an acceptable everyday identifier for routine private authentication or broad commercial reuse. This creates a design that is not “scope-limited by administrative domains” in the Japanese sense, but is instead “private-use constrained” while remaining a powerful identifier within the public sphere.",住民登録番号は行政環境において強力な識別子として存在し、個人情報保護法制上も直接識別子として位置づけられている。一方で、この番号の民間部門での取扱いは、限定された法的根拠に基づく場合に抑制されており、日常的な民間認証や広範な商業的再利用のための識別子とはみなされていない。その結果、この制度は日本のように分野ごとに利用範囲を限定する設計ではなく、公的領域では強力である一方、民間利用が制約された識別子という性格を持つ。
"A lifelong IRD number exists primarily as a taxpayer identifier for tax-related events and administration, rather than as a universal personal identifier across domains. Digital identity services (such as RealMe verified identity) provide reusable identity verification, but they are not a single national “personal number” that functions as a cross-sector common identifier. Under this institutional arrangement, the country aligns with a non-common-identifier model rather than a unified personal identifier regime.",IRD番号は主として税関連の事象や税務行政のための納税者識別子として生涯にわたり用いられており、分野横断の万能な個人番号として位置づけられていない。再利用可能な本人確認を提供するデジタルIDサービス（RealMe verified identity）は存在するが、それは公的・民間を横断する単一の個人番号制度ではない。この制度配置の下では、統一的な共通個人識別子を採用しないモデルに該当する。
"A national registration identifier (NRIC/FIN) exists as a core identifier, but public guidance explicitly distinguishes identification from authentication and advises organisations not to use NRIC numbers as authentication factors (for example, as passwords). The regulatory stance requires private organisations to phase out such authentication uses by a stated deadline, reinforcing that the identifier should not operate as a convenient universal secret for private access control. This positions the identifier as institutionally restricted in private-sector usage even where it remains a core identifier for official identification purposes.",国民登録番号（NRIC/FIN）は中核的な識別子として存在するが、公的なガイダンスでは「識別」と「認証」が明確に区別され、NRIC番号を認証要素（例えばパスワード）として用いるべきではないとされている。規制当局は民間組織に対し、こうした認証用途の利用を期限付きで廃止することを求めており、番号が私的アクセス制御のための汎用的な秘密情報として機能しないよう制度的に規律している。このため、識別子は公式な身元識別の中核でありながら、民間利用においては制限された位置づけとなっている。
"A personal identity number (personnummer) is assigned through the population register and is used as an identifier not only when dealing with government authorities but also when interacting with private companies. Official guidance describes it as the standard identifier across society, supporting routine transactions and administrative processes and enabling updates to propagate through register-based services. This makes the personal identifier a practical common key across public and private domains.",個人番号（personnummer）は人口登録を通じて付与され、政府機関との手続だけでなく、民間企業とのやり取りにおいても識別子として用いられている。公式な説明では、社会全体における標準的な識別子として位置づけられており、日常的な取引や行政手続を支え、登録情報の更新が各種サービスに連動して反映される。このため、この個人識別子は公的・民間の両領域を横断する実質的な共通キーとなっている。
"A Social Security Number was created to track earnings for benefits, but official historical analysis notes that its use expanded substantially and it came to be used as a nearly universal identifier. In practice, it is widely requested for employment reporting, benefits eligibility, and a broad range of identity-related record linkage in both public administration and private economic activity. This positions the identifier as a de facto common key across domains, even if its original statutory purpose was narrower.",社会保障番号（SSN）は当初、給付算定のための所得記録を管理する目的で導入されたが、公式な歴史分析によれば、その利用範囲は大幅に拡大し、ほぼ普遍的な識別子として用いられるようになった。実務上、SSNは雇用報告、給付資格の確認、そして公的行政と民間経済活動の双方における幅広い本人情報の照合で利用されている。このため、法定目的は限定的であったとしても、結果として分野横断の共通キーとして機能している。
"Australia’s Digital ID system enables consent-based verification of identity information against authoritative government records without creating a centralised database. Interoperability is defined through standards (including federation and attribute profiles) for participating providers and relying parties, but the mechanism is primarily identity-attribute sharing rather than a broad whole-of-government data exchange layer.",豪州のDigital IDは、中央集約データベースを作らずに同意の下で公的な記録と照合し、本人情報を検証できる。参加主体間の相互運用はフェデレーションや属性プロファイル等の標準で定義されるが、主眼は行政データ全般の交換レイヤではなく、本人確認済み属性の共有にある。
"Canada’s federal sign-in options (GCKey and Sign-In Partner) focus on authentication choice via a credential broker. Official guidance states that personally identifying information is not exchanged during authentication and that Sign-In Partner does not provide identity information or verified attributes to government services; as a result, there is no institutionalised nationwide verified-attribute or data-sharing backbone comparable to consent-based exchange.",カナダのGCKey/Sign-In Partnerは資格情報ブローカーを介した「認証手段の選択」に主眼がある。公式説明では認証時に個人識別情報は交換されず、Sign-In Partnerは政府サービスへ本人情報や検証済み属性を提供しないとされるため、同意型の検証済み属性共有に相当する全国的なデータ連携基盤は制度化されていない。
"Germany is advancing interoperability through federal–state cooperation under the Online Access Act (OZG) and related initiatives, including efforts linked to the once-only principle and register modernisation. However, the interoperability backbone remains federated across levels of government and is not yet equivalent to a single, universally reused national data exchange layer covering all domains.",ドイツはOZG等の枠組みで連邦・州の協力により相互運用を進め、Once-Onlyやレジスタ近代化に関連する取組も進展している。一方で、基盤は行政レベル間で分権的に形成されており、全分野で普遍的に再利用される単一の全国データ交換レイヤと同等とまでは言い難い。
"Denmark operates shared national data infrastructure for distributing core register data (people, companies, addresses, property and geodata) via standardised services, enabling broad reuse across the public sector and beyond. This functions as a nationally institutionalised backbone for obtaining authoritative data rather than point-to-point, case-by-case integrations.",デンマークは、人・企業・住所・不動産・地理情報などの基礎レジスタデータを標準化されたサービスで配布する共通の国家データ基盤を運用しており、公的部門を中心に広範な再利用が可能である。これは個別都度の点対点連携ではなく、権威あるデータを取得するための全国的な背骨として制度化されている。
"Estonia’s X-tee (X-Road) is a long-running national data exchange layer that provides a technological and organisational environment for secure internet-based data exchange between information systems. Members can publish and consume services under agreements, enabling systematic reuse of authoritative data across public and private sector systems.",エストニアのX-tee（X-Road）は、情報システム間の安全なインターネットベースのデータ交換を可能にする技術・組織環境として長期運用される国家基盤である。参加主体は合意に基づきサービス/データを提供・利用でき、官民のシステム横断で権威あるデータを体系的に再利用できる。
"France pursues ‘Dites-le-nous-une-fois’ (DLNUF) by enabling administrations to retrieve data and supporting documents via APIs rather than asking users to submit what another administration already holds. The approach relies on catalogued government APIs and habilitation/access mechanisms, but it remains domain-specific and does not amount to a single unified nationwide exchange layer for all administrative data.",フランスはDLNUF（Dites-le-nous-une-fois）の考え方の下、他機関が保有する情報や添付書類をAPIで取得できるようにし、利用者に再提出を求めないことを目指す。APIカタログやアクセス許可の仕組みに依拠するが、分野別の実装が中心で、全行政データを一体的に扱う単一の全国交換レイヤとは言いにくい。
"GOV.UK One Login allows users to prove their identity once and reuse that proof across other services that integrate with One Login. Participating services can receive verified core attributes (and optionally additional checked attributes) after the user completes identity checks, but the model is primarily a reusable identity-and-attribute service rather than a comprehensive whole-of-government data exchange layer.",GOV.UK One Loginは、一度本人確認を行えばその結果を他のOne Login対応サービスで再利用できる仕組みである。本人確認後にサービス側は検証済みの基本属性（必要に応じ追加の確認済み属性）を受け取れるが、全行政データを横断する包括的な交換レイヤというより、再利用可能な本人確認・属性提供サービスとしての性格が強い。
"India Stack’s data layer (DEPA) defines a secure, consent-based data sharing framework that standardises user consent through a programmable consent artefact and regulated consent managers (such as Account Aggregators in finance). This establishes an interoperable mechanism for verified data sharing across institutions, designed to replace ad-hoc practices like manual document submission or screen scraping.",India Stackのデータ層（DEPA）は、プログラム可能な同意アーティファクトと規制された同意管理者（金融ではAccount Aggregator等）により、同意に基づくデータ共有を標準化する枠組みである。これにより機関間で検証済みデータを相互運用的に共有でき、紙提出やスクレイピングのような場当たり的手法の代替として制度化されている。
"Japan institutionalises cross-agency ‘information linkage’ via the Information Provision Network System, enabling authorities to query and receive required personal information held by other agencies so that applicants can omit supporting documents. The system is designed around distributed data management (data stays with source agencies) while the network mediates lawful queries and responses, functioning as a nationwide backbone for inter-agency verification and data provision within defined administrative purposes.",日本は情報提供ネットワークシステムによって行政機関間の「情報連携」を制度化し、他機関が保有する必要情報を照会・受領することで申請者の添付書類提出を省略できる。個人情報は各機関が分散管理したまま、ネットワークが法令に基づく照会・提供を仲介する設計であり、定められた行政目的の範囲で全国的な照会・検証／情報提供の背骨として機能している。
"Korea’s Digital Platform Government initiative aims to connect systems and data across agencies and promote interoperability and data sharing, positioning a platform-based approach for collaboration. However, the official framing is largely programme/initiative-based, and the nationwide interoperability backbone is best treated as evolving and not uniformly institutionalised as a single cross-domain exchange layer.",韓国のデジタルプラットフォーム政府は、省庁間のシステム・データ接続や相互運用、データ共有を促進し、プラットフォーム型の協働を目指す取組である。一方で公式説明はプログラム/構想の色が強く、分野横断で一様に制度化された単一の全国交換レイヤとしては発展途上とみなすのが妥当である。
"RealMe verified provides consent-based sharing of verified identity attributes across many government and commercial services and is explicitly designed as a reusable digital component. It connects users to personal data held in secure databases, does not rely on a central data source, and pulls data from source systems in real time with the user’s consent, creating a nationwide backbone for verified-attribute reuse.",RealMe verifiedは、政府・民間の多くのサービスで検証済み属性を同意に基づき共有できる再利用コンポーネントとして明示的に設計されている。安全なデータベース群に接続し、中央データソースに依存せず、利用者の同意の下で元システムからリアルタイムに取得することで、検証済み属性の全国的な再利用基盤を形成している。
"MyInfo enables individuals to consent to sharing verified personal data from authoritative government sources so services can securely pre-fill forms and reduce repeated submissions. Together with government-wide data sharing components, this functions as a nationally institutionalised personal data platform for verified-attribute retrieval and reuse across government and participating private-sector services.",MyInfoは、政府の権威ある情報源から検証済み個人データを同意に基づき共有し、サービス側が安全にフォーム自動入力を行って重複提出を減らせる仕組みである。政府全体のデータ共有コンポーネントと組み合わさり、官民の参加サービスで検証済み属性を取得・再利用する国家的な個人データ基盤として制度化されている。
"Sweden Connect provides a national framework (SAML/OIDC profiles and attribute specifications) to support interoperable exchange of identity assertions and attributes within the federation, including processes for binding identities to population-register records. However, this is primarily an eID federation interoperability layer and does not constitute a single nationwide administrative data exchange layer spanning all domains.",Sweden ConnectはSAML/OIDCプロファイルや属性仕様等により、フェデレーション内でのIDアサーション・属性の相互運用的な交換を支える国家枠組みであり、人口登録へのIDバインディング等も含む。一方で主としてeIDフェデレーションの相互運用レイヤであり、全分野の行政データを横断する単一の全国データ交換レイヤとは異なる。
"Login.gov operates as a federal shared service for authentication and identity verification that can deliver user attributes to participating agencies through federation protocols (OIDC/SAML), with documented attribute sets available for relying parties. This supports cross-agency reuse of verified attributes, but the overall model remains a federated identity-and-attribute service rather than a single nationwide administrative data exchange layer across all levels of government.",Login.govは連邦の共有サービスとして認証・本人確認を提供し、フェデレーション（OIDC/SAML）を通じて参加機関にユーザー属性を提供でき、依拠者向けに属性セットも文書化されている。これにより検証済み属性の省庁横断再利用は可能だが、政府レベル全体を覆う単一の全国行政データ交換レイヤというより、フェデレーテッドな本人確認・属性提供サービスにとどまる。
"Japan’s My Number Card is a government‑issued physical ID card with an IC chip and JPKI certificates that support online identification and qualified electronic signatures. The card is institutionally reused across many online public services (for example, tax, social security and portal services) and also underpins a smartphone certification route that relies on the same PKI. The scheme is governed by law and official guidance, enabling residents to authenticate and sign online with high assurance.",日本のマイナンバーカードはICチップとJPKI証明書を備え、オンライン本人確認および電子署名に対応する政府発行の物理IDカードである。カードは税・社会保障・各種ポータルなど多くのオンライン行政手続で制度的に再利用され、同一PKIに基づくスマホ用の認証経路も支えている。制度は法令および公式ガイドに基づき運用され、住民は高い保証水準でオンライン認証・署名が可能である。
"Korea issues a physical Resident Registration Card and has introduced an IC‑chip version that can be tapped to provision a mobile resident registration card on smartphones. Online identity use is centred on the government‑led mobile ID ecosystem; therefore, the physical card itself is not positioned as the primary institutional eID for multi‑domain online reuse. Accordingly, under this indicator, the physical card is treated as near‑equivalent to a national eID while the core online reuse is delivered through mobile ID.",韓国は物理の住民登録証を発行しており、ICチップ内蔵版を導入してスマートフォンへのモバイル住民登録証の発行（タップ）に対応している。オンラインの本人確認は政府主導のモバイルIDエコシステムが中核であり、物理カード自体は分野横断のオンライン再利用における制度的な主役ではない。そのため本指標では、物理カードは国民eIDに近い扱いとしつつ、実際のオンライン再利用の中核はモバイルID側にあると評価する。
"Estonia’s state ID‑card is a government‑issued physical card with chip‑resident certificates that enable strong online identification and qualified electronic signatures. It is legally embedded in the national e‑identity system and broadly reused across public e‑services and regulated private‑sector transactions. The ID‑card PKI forms a backbone of the digital state for signing, encryption and secure authentication.",エストニアのIDカードはチップ上の証明書により強固なオンライン本人確認と適格電子署名を可能にする政府発行の物理カードである。国家の電子ID制度に法的に組み込まれ、行政の電子サービスや規制対象の民間取引で広く再利用されている。IDカードのPKIは、署名・暗号化・安全な認証の基盤としてデジタル国家の背骨を成している。
"Denmark does not operate a nationwide physical national ID card for residents; identity is typically proven with a passport or driving licence. Online identification for public services is provided through the MitID ecosystem (app or alternative authenticators), rather than a chip‑based national ID card used for online reuse. Accordingly, Denmark is classified No for this indicator (no national ID‑card scheme for online reuse).",デンマークには全国民向けの物理的な国民IDカード制度はなく、本人確認は通常パスポートや運転免許証で行われる。行政のオンライン本人確認は、ICカード型の国民IDカードではなく、MitIDエコシステム（アプリ等）によって提供されている。このため本指標では No と分類する。
"France’s national identity card (CNI) is issued by the state and is paired with the France Identité app, which enables online identification and access to more than 1,800 services via FranceConnect without passwords. The app extends the card’s uses in the digital environment and lets users generate verifiable identity proofs and present ID in person. The programme is operated by France Titres/ANTS under ministerial oversight.","フランスの国民IDカード（CNI）は国家が発行し、France Identitéアプリと連携してオンライン本人確認を実現し、FranceConnect経由で1,800超のサービスにパスワードなしでアクセスできる。アプリはカードのデジタル領域での利用を拡張し、検証可能な身元証明の生成や対面での提示も可能にする。プログラムはFrance Titres／ANTSが所管し、関係省庁の監督の下で運用されている。"
"Germany’s Personalausweis is a physical ID card with a chip whose eID function supports secure online identification with suitable smartphones/readers and the AusweisApp. The eID is established by law and reused across public and private services with end‑to‑end encryption and authorisation checks, and it is notified in the EU at the highest assurance level. The online‑Ausweis serves as a trust anchor for digital transactions and continues to be enhanced by the federal government.",ドイツのPersonalausweisはチップを搭載した物理IDカードで、適合するスマートフォン／リーダーとAusweisAppによりeID機能を用いた安全なオンライン本人確認に対応する。eIDは法制度に基づき、エンドツーエンド暗号化と許可確認の下で官民のサービスに再利用され、EUでも最高保証レベルでノーティファイされている。オンラインAusweisはデジタル取引の信頼の基盤として機能し、連邦政府により継続的な高度化が進められている。
"The United Kingdom does not operate a national identity card scheme for citizens; official identity documents are passports and driving licences. Online government identity is provided via GOV.UK One Login, which offers multiple routes for proving identity (app, Post Office, or security questions) and then reuses the verified identity across participating services. Accordingly, there is no chip‑based national ID card acting as the institutional eID for online reuse.",英国には国民向けのIDカード制度はなく、公的な身分証はパスポートおよび運転免許証である。オンラインの政府IDはGOV.UK One Loginが提供し、アプリ／郵便局／オンライン質問など複数の経路で本人確認を行い、確認済みの本人情報を参加サービス間で再利用する。したがって、オンライン再利用の制度的eIDとして機能するICカード型の国民IDは存在しない。
"The United States has no federal national ID card; identity documents are issued by states (driver’s licences/ID) and by federal agencies for specific purposes (e.g., passports). Digital government authentication is account‑based via Login.gov with mandatory multi‑factor authentication, while mobile driver’s licences are accepted by TSA only under specific programmes at participating airports. Accordingly, there is no nationwide physical national ID card that provides card‑resident eID/signature for online reuse.",米国には連邦レベルの国民IDカードはなく、身分証は州（運転免許証／州ID）や連邦機関（パスポート等）が用途別に発行する。電子政府の本人確認はLogin.govによるアカウント方式（多要素認証必須）であり、モバイル運転免許証はTSAの特定プログラムの下で参加空港に限り受入れが進むにとどまる。したがって、カード常駐のeID／署名を備えた全国的な物理IDカードは存在しない。
"Canada does not operate a federal national ID card; identity relies on passports and provincial/territorial documents such as driver’s licences or photo ID. Online access to federal services uses GCKey or the Sign‑In Partner (bank‑based) credential broker model rather than a chip‑based national ID card reused online. Accordingly, Canada is classified No for this indicator.",カナダには連邦の国民IDカードはなく、本人確認はパスポートや州／準州の運転免許証・写真付きIDに依存する。連邦オンラインサービスの利用は、ICカード型の国民IDではなく、GCKeyまたは銀行連携のSign‑In Partnerによる資格情報ブローカー方式で行われる。以上より本指標では No と分類する。
"Australia does not have a national ID card; the Australian Government Digital ID System (AGDIS) provides voluntary, consent‑based online identity verification using existing authoritative records via accredited providers. The model does not create a centralised card‑based national ID for online reuse, and services can be accessed using Digital ID (e.g., myID) without issuing a physical national ID card. Accordingly, Australia is classified No for this indicator.",オーストラリアには国民IDカードはなく、Australian Government Digital ID System（AGDIS）は認定事業者を通じ、既存の公的記録に基づく同意型のオンライン本人確認を提供する。これはカードベースの全国IDを新設するものではなく、物理カードを発行せずにDigital ID（例：myID）でサービスを利用できる。以上より本指標では No と分類する。
"New Zealand does not operate a national ID card scheme; RealMe provides a reusable verified identity for online services without issuing a physical national ID card. RealMe verified identity can be used across government and participating private services to prove identity online, with verification managed by the Department of Internal Affairs. Accordingly, New Zealand is classified No for this indicator.",ニュージーランドには国民IDカード制度はなく、RealMeは物理カードを発行せずにオンラインで再利用可能な確認済み本人情報を提供する。RealMeのVerified Identityは政府および参加する民間サービスでオンライン本人確認に用いることができ、検証は内務省（DIA）が管理する。以上より本指標では No と分類する。
"Singapore issues the physical NRIC as the official identity document, while online identification and multi‑domain reuse are provided through the Singpass ecosystem. The card itself is not positioned as the primary online eID/qualified‑signature mechanism, so under this indicator it is treated as near‑equivalent. The Singpass platform supports authentication, verified attributes and digital signing across thousands of services.",シンガポールは物理のNRICを公的身分証として発行する一方、オンラインの本人確認と分野横断の再利用はSingpassエコシステムが担う。カード自体がオンラインeID／電子署名の主役ではないため、本指標では近似（Equivalent）として扱う。Singpassは認証・確認済み属性・デジタル署名を数千のサービスで提供する。
"Sweden issues an approved physical ID card from the Swedish Tax Agency; the card can include Swedish e‑identification from AB Svenska Pass for accessing Tax Agency e‑services. Under the national e‑identification framework, recognised eID means are reused across public e‑services, supported by Digg’s Sweden Connect infrastructure for secure eID transactions. The card‑plus‑eID arrangement enables institutional online identification and signing.",スウェーデンは税務庁の承認IDカードを発行し、同カードにはAB Svenska PassのeIDを搭載して税務庁の電子サービスにアクセスできる。国家のeID枠組みの下で承認されたeID手段は公的電子サービスで再利用され、DiggのSweden Connectインフラにより安全なeID取引が支えられている。カードとeIDの組み合わせにより、制度的なオンライン本人確認と署名が可能となる。
"India’s Aadhaar is issued as a physical letter/card and is widely reused for online verification, but it is not a chip‑based national ID card providing card‑resident eID/signature. Online verification relies on UIDAI services such as OTP/biometric authentication and paperless offline e‑KYC rather than an IC‑card eID. Accordingly, Aadhaar is treated as Equivalent for this indicator.",インドのAadhaarは物理のレター／カードとして交付され、オンラインで広く再利用されるが、カード常駐のeID／電子署名を備えたICカード型の国民IDではない。オンラインの本人確認は、ICカードeIDではなく、OTP／生体認証やペーパーレス・オフラインe‑KYCなどUIDAIのサービスに依拠する。したがって本指標では Equivalent と評価する。
"Australia’s digital driver licences are issued and operated by states and territories, with the NSW Digital Driver Licence in the Service NSW app being a leading example. These credentials are accepted for policing and everyday checks within participating jurisdictions and integrate with state digital service portals. However, there is no single nationwide mDL scheme, so acceptance, technical profiles and reuse remain jurisdiction‑specific.",オーストラリアのデジタル運転免許証は州・準州が発行・運用しており、Service NSWアプリのNSW Digital Driver Licenceが代表例である。これらの資格は、参加法域内での職務質問や日常の本人確認で受け入れられ、州のデジタルサービス基盤とも連携する。一方で全国単一のmDL制度は存在せず、受入範囲・技術仕様・再利用性は各法域に依存する。
"Canada does not operate a nationwide mobile driver’s licence; provinces and territories issue physical licences and require drivers to carry them when driving. While digital credentials may be explored in various contexts, a federal or nationwide mDL acceptance regime has not been established in this dataset’s timeframe.",カナダには全国的なモバイル運転免許証はなく、州・準州が物理免許証を発行し、運転時の携行が求められる。デジタル資格の検討が文脈により行われる場合はあるが、当データセットの期間において、連邦もしくは全国規模のmDL受入制度は確立していない。
